id,text,url
PLAIN-3,Breast Cancer Cells Feed on Cholesterol,http://nutritionfacts.org/2015/07/14/breast-cancer-cells-feed-on-cholesterol/
PLAIN-4,Using Diet to Treat Asthma and Eczema,http://nutritionfacts.org/2015/07/09/using-diet-to-treat-asthma-and-eczema/
PLAIN-5,Treating Asthma With Plants vs. Pills,http://nutritionfacts.org/2015/07/07/treating-asthma-with-plants-vs-pills/
PLAIN-6,How Fruits and Vegetables Can Treat Asthma,http://nutritionfacts.org/2015/07/02/how-fruits-and-vegetables-can-treat-asthma/
PLAIN-7,How Fruits and Vegetables Can Prevent Asthma,http://nutritionfacts.org/2015/06/30/how-fruits-and-vegetables-can-prevent-asthma/
PLAIN-8,Our Tax Dollars Subsidize Unhealthy Foods,http://nutritionfacts.org/2015/06/25/our-tax-dollars-subsidize-unhealthy-foods/
PLAIN-9,Reducing Arsenic in Chicken and Rice,http://nutritionfacts.org/2015/06/23/reducing-arsenic-in-chicken-and-rice/
PLAIN-10,How Contaminated Are Our Children?,http://nutritionfacts.org/2015/06/18/how-contaminated-are-our-children/
PLAIN-14,"Blood Type Diet Perceived as ""Crass Fraud""",http://nutritionfacts.org/2015/06/04/blood-type-diet-debunked/
PLAIN-15,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,http://nutritionfacts.org/2015/06/02/why-do-heart-doctors-favor-surgery-and-drugs-over-diet/
PLAIN-16,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,http://nutritionfacts.org/2015/05/28/phytates-in-beans-anti-nutrient-or-anti-cancer/
PLAIN-17,How Phytates Fight Cancer Cells,http://nutritionfacts.org/2015/05/26/how-phytates-fight-cancer-cells/
PLAIN-18,Colon Cancer Prevention: Is it the Fiber or the Phytates?,http://nutritionfacts.org/2015/05/21/colon-cancer-prevention-is-it-the-fiber-or-the-phytates/
PLAIN-19,Low Carb Diets Found to Feed Heart Disease,http://nutritionfacts.org/2015/05/19/low-carb-diets-and-coronary-blood-flow/
PLAIN-20,How Curry Can Kill Cancer Cells,http://nutritionfacts.org/2015/05/12/how-curry-can-kill-cancer-cells/
PLAIN-21,Testing Turmeric on Smokers,http://nutritionfacts.org/2015/05/07/testing-turmeric-on-smokers/
PLAIN-24,Alkylphenol Endocrine Disruptors and Allergies,http://nutritionfacts.org/2015/04/23/alkylphenol-endocrine-disruptors-and-allergies/
PLAIN-25,Slowing Cognitive Decline with Berries,http://nutritionfacts.org/2015/04/21/how-to-slow-brain-aging-by-two-years/
PLAIN-26,What is ‘Meat Glue’?,http://nutritionfacts.org/2015/04/16/what-is-meat-glue/
PLAIN-27,Is Liquid Smoke Safe?,http://nutritionfacts.org/2015/04/14/does-liquid-smoke-cause-cancer/
PLAIN-28,Does Antioxidant Intake Matter for Stroke and Heart Disease?,http://nutritionfacts.org/2015/04/09/food-antioxidants-stroke-and-heart-disease/
